B0,ConKingdom,Habitat,OriginalTraitName,Rsqu,T0,Tm,aic,aicc,bic,id
8.772750516178734e-05,Metazoa,freshwater,Relative Growth Rate,-4.142003475372888,16.3,24.0,-146.50066844226558,-146.2149541565513,-144.18290227554624,228
9.190915790864619e-05,Metazoa,freshwater,Relative Growth Rate,-2.2398650844418038,16.3,24.0,-270.46333648837077,-270.30949033452464,-266.46672295784515,229
9.799012235501086e-05,Metazoa,freshwater,Relative Growth Rate,-1.773508675865279,16.3,24.0,-189.35676591282436,-189.13454369060213,-186.36956909216238,230
8.758016873959097e-05,Metazoa,freshwater,Relative Growth Rate,-5.12509759526503,16.3,24.0,-321.89586013132975,-321.77086013132975,-317.31677855748126,231
7.375572519246003e-05,Metazoa,freshwater,Relative Growth Rate,-6.384293051120499,16.3,24.0,-332.64326927957677,-332.52205715836465,-327.9772250951085,232
6.119708514962989e-05,Metazoa,freshwater,Relative Growth Rate,-6.9639948017562805,16.3,24.0,-275.92790001731964,-275.7797518691715,-271.8260125273602,233
0.0001704994410942033,Metazoa,freshwater,Relative Growth Rate,-34.95698342244975,19.5,24.0,-93.96001948124966,-93.51557503680522,-92.76633366285455,234
8.147173401006022e-05,Metazoa,freshwater,Relative Growth Rate,-5.039006482720645,16.3,24.0,-168.10301654057002,-167.83634987390334,-165.60337650840137,235
8.442092516270874e-05,Metazoa,freshwater,Relative Growth Rate,-4.545853122934185,16.3,24.0,-173.75474122224048,-173.5194471045934,-170.92142428474116,236
8.565470930023379e-05,Metazoa,freshwater,Relative Growth Rate,-7.859695423292665,16.3,24.0,-188.845525368092,-188.63499905230253,-185.71195805492175,237
8.76274361431852e-05,Metazoa,freshwater,Relative Growth Rate,-9.971080283485863,16.3,24.0,-98.89117617125437,-98.44673172680993,-97.69749035285926,238
0.00015972625043351928,Metazoa,freshwater,Relative Growth Rate,-40.3295717459239,19.5,24.0,-148.79154271418855,-148.52487604752187,-146.2919026820199,239
8.134732507984242e-05,Metazoa,freshwater,Relative Growth Rate,-3.6627527090125467,16.3,24.0,-121.17313535601642,-120.80949899238006,-119.4782872836318,240
9.086095777156722e-05,Metazoa,freshwater,Relative Growth Rate,-4.606623533048462,16.3,24.0,-229.96163409865778,-229.79496743199113,-226.18734448459332,241
9.492004281990934e-05,Metazoa,freshwater,Relative Growth Rate,-2.0212912284947406,16.3,24.0,-237.71541728594443,-237.54150424246617,-234.05878981133984,242
0.00010475650155153262,Metazoa,freshwater,Relative Growth Rate,-4.35771713821685,16.3,24.0,-186.0340585604627,-185.82353224467323,-182.90049124729245,243
0.00024199448195999217,Metazoa,freshwater,Relative Growth Rate,-18.242208646404475,19.5,24.0,-143.018168887591,-142.75150222092432,-140.51852885542235,244
9.658301325875941e-05,Metazoa,freshwater,Relative Growth Rate,-5.823808559239053,16.3,24.0,-186.7311421375434,-186.52061582175392,-183.59757482437314,245
0.000271323239389086,Metazoa,freshwater,Relative Growth Rate,-13.510263239812838,19.5,24.0,-81.94539354687488,-81.44539354687488,-81.03763826789275,246
0.0001018977404636409,Metazoa,freshwater,Relative Growth Rate,-3.594055489045365,16.3,24.0,-205.46305275970036,-205.27257656922416,-202.05657011191292,247
9.415321443245656e-05,Metazoa,freshwater,Relative Growth Rate,-4.050372993895329,16.3,24.0,-179.6920727728044,-179.46985055058218,-176.70487595214243,248
0.00018641132608882745,Metazoa,freshwater,Relative Growth Rate,-46.879407515374794,19.5,24.0,-63.514322367397384,-62.84765570073072,-63.27599774235787,249
0.0001736605273846621,Metazoa,freshwater,Relative Growth Rate,-12.717751665355797,19.5,24.0,-85.83491414009602,-85.33491414009602,-84.92715886111388,250
0.0001925360901774264,Metazoa,freshwater,Relative Growth Rate,-17.421985427889975,19.5,24.0,-77.84146820252523,-77.27003963109667,-77.24979447051658,251
8.548349912017903e-05,Metazoa,freshwater,Relative Growth Rate,-2.5820003965851988,16.3,24.0,-277.84459464142094,-277.6964464932728,-273.7427071514615,252
0.00018003977364925908,Metazoa,freshwater,Relative Growth Rate,-22.17630796201827,19.5,24.0,-158.42486624328998,-158.17486624328998,-155.7537509696015,253
0.00018632567494040547,Metazoa,freshwater,Relative Growth Rate,-30.994728222282145,19.5,24.0,-66.99265391343371,-66.32598724676704,-66.7543292883942,254
0.0002016414940592606,Metazoa,freshwater,Relative Growth Rate,-10.040348833252244,19.5,24.0,-182.2909729656388,-182.0804466498493,-179.15740565246853,255
0.00016159993377618507,Metazoa,freshwater,Relative Growth Rate,-12.33668421700348,19.5,24.0,-72.00614648767493,-71.43471791624636,-71.41447275566627,256
0.00018568442876676846,Metazoa,freshwater,Relative Growth Rate,-36.59118828278517,19.5,24.0,-65.23207789482801,-64.56541122816134,-64.9937532697885,257
0.0001949908023278111,Metazoa,freshwater,Relative Growth Rate,-14.089663770034308,19.5,24.0,-86.92992125622482,-86.42992125622482,-86.02216597724268,258
0.00021180424802569962,Metazoa,freshwater,Relative Growth Rate,-6.077666672853772,19.5,24.0,-77.36862554814826,-76.79719697671969,-76.7769518161396,259
6.713298903528802e-05,Metazoa,freshwater,Relative Growth Rate,-13.084937144552931,16.3,24.0,-284.9143642885272,-284.7810309551939,-280.517156580128,260
6.841565598637906e-05,Metazoa,freshwater,Relative Growth Rate,-8.800648008941224,16.3,24.0,-321.3218759219527,-321.1968759219527,-316.7427943481042,261
